season,date,home_team,away_team,full_time_home_goals,full_time_away_goals,full_time_result,half_time_home_goals,half_time_away_goals,half_time_result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_odds,draw_odds,away_odds,source,match_date,match_id
2017/18,22/12/2017,Arsenal,Liverpool,3,3,D,0,1,A,11,14,4,9,7,8,9,11,1,0,0,0,2.54,3.6,2.79,Football-Data.co.uk,2017-12-22,2017/18|2017-12-22|Arsenal|Liverpool
2017/18,23/12/2017,Brighton,Watford,1,0,H,0,0,D,14,13,3,1,6,4,8,11,0,0,0,0,2.62,3.2,3.0,Football-Data.co.uk,2017-12-23,2017/18|2017-12-23|Brighton|Watford
2017/18,23/12/2017,Burnley,Tottenham,0,3,A,0,1,A,5,18,2,8,4,4,10,10,1,2,0,0,7.0,4.2,1.55,Football-Data.co.uk,2017-12-23,2017/18|2017-12-23|Burnley|Tottenham
2017/18,23/12/2017,Everton,Chelsea,0,0,D,0,0,D,5,25,0,8,2,7,8,4,3,0,0,0,6.0,3.89,1.66,Football-Data.co.uk,2017-12-23,2017/18|2017-12-23|Everton|Chelsea
2017/18,23/12/2017,Leicester,Man United,2,2,D,1,1,D,11,19,3,6,4,6,19,8,2,2,1,0,4.5,3.6,1.9,Football-Data.co.uk,2017-12-23,2017/18|2017-12-23|Leicester|Man United
2017/18,23/12/2017,Man City,Bournemouth,4,0,H,1,0,H,14,5,5,1,4,6,8,7,0,1,0,0,1.12,11.0,23.0,Football-Data.co.uk,2017-12-23,2017/18|2017-12-23|Man City|Bournemouth
2017/18,23/12/2017,Southampton,Huddersfield,1,1,D,1,0,H,12,10,6,3,9,1,16,9,2,1,0,0,1.61,3.89,6.5,Football-Data.co.uk,2017-12-23,2017/18|2017-12-23|Southampton|Huddersfield
2017/18,23/12/2017,Stoke,West Brom,3,1,H,2,0,H,9,17,5,7,1,11,9,11,1,0,0,0,2.29,3.25,3.5,Football-Data.co.uk,2017-12-23,2017/18|2017-12-23|Stoke|West Brom
2017/18,23/12/2017,Swansea,Crystal Palace,1,1,D,0,0,D,7,13,2,5,6,3,13,11,2,3,0,0,3.29,3.2,2.45,Football-Data.co.uk,2017-12-23,2017/18|2017-12-23|Swansea|Crystal Palace
2017/18,23/12/2017,West Ham,Newcastle,2,3,A,1,1,D,19,11,6,4,6,3,9,12,1,1,0,0,2.1,3.39,3.89,Football-Data.co.uk,2017-12-23,2017/18|2017-12-23|West Ham|Newcastle
